period,gini,wolfson,atkinson_e1,ede_e1,middle_share,bottom20_income,top20_income,employment,vulnerable_employment,skill_gap,capital_top10,output,growth_q1,growth_q2,growth_q3,growth_q4,growth_q5,seed,policy
14,0.3679696615204999,0.3413284018500677,0.20179046123971467,0.9741257295500364,0.29,0.17965639321261723,3.9723233117175614,0.9670027908071321,0.879270945348746,0.7200294123097831,0.3864528650372878,1.2203884847868016,-0.18502283505463174,-0.10495911852655206,-0.017812371843840092,0.05159453449485053,0.17879893971032204,0,전국민 공공AI
15,0.3748943102381107,0.3512406012162136,0.20891348789991604,0.9745648533047641,0.2835714285714286,0.1762895088327159,4.06817969832334,0.9664405071485082,0.8786812683506676,0.7186554185247409,0.3898923245665132,1.2319320812556938,-0.19694493128941146,-0.11116816088186544,-0.01743152546995144,0.056918364193167634,0.19347883212633687,0,전국민 공공AI
0,0.28674570602246163,0.25868531044937426,0.12584051831648935,0.9893226839264871,0.35642857142857143,0.24527790378099995,2.969644215655765,0.9751420349263461,0.8877382222480147,0.7165055426075388,0.3669487155396296,1.131741638289146,0.0,0.0,0.0,0.0,0.0,0,공공AI+공교육
1,0.29053189031880366,0.26339373846020575,0.1290306978748097,0.9832951360356654,0.35,0.239964047460246,2.997122056363859,0.9753547349874725,0.8888279665569654,0.6627486239664785,0.36774604621021223,1.1289664671721458,-0.014893017917993134,-0.011121966789621265,-0.006757980857694468,-0.0023246708630702273,0.004541455757428549,0,공공AI+공교육
2,0.29492398196518477,0.2669066876083982,0.1328278907200512,0.9839442637258663,0.3485714285714286,0.2352727753786152,3.0551863887476505,0.975587689848413,0.889971900731232,0.6128873605926405,0.3684513356222806,1.1346585680008534,-0.0253761720320444,-0.016121654524909972,-0.005773227605104665,0.0022553150141459426,0.01775924693297091,0,공공AI+공교육
3,0.29954577651459935,0.269998392975289,0.13683039064725544,0.9852223959002608,0.3435714285714286,0.23159622316361786,3.1169139133243524,0.9758452766874169,0.8912011731572587,0.5649676224502668,0.36910519004219305,1.141400699497563,-0.03503161188684011,-0.020700146828045517,-0.00460990913014525,0.007755037095813423,0.03182086570374524,0,공공AI+공교육
4,0.30424211261786593,0.27325171662188374,0.14094786826204042,0.9871465232095009,0.34285714285714286,0.22789777410892825,3.1818832857543473,0.9761178663171436,0.8924709621185132,0.5206907136187988,0.36967561688641754,1.1491113132009718,-0.04377768168186236,-0.02456066835167339,-0.0027119925844865072,0.014159738472624242,0.04588025504155354,0,공공AI+공교육
5,0.3089746468190705,0.27686997518411777,0.14515743311164142,0.9900252532403359,0.335,0.2236699654065091,3.2515980131172806,0.9764027771686961,0.8937827097101646,0.4806960207146835,0.37030460648773356,1.1581375233150175,-0.05090414795504701,-0.027767246325102787,0.0004804791204285413,0.02103394981180527,0.060706464302403784,0,공공AI+공교육
6,0.3137529746861458,0.2811061608714769,0.14942946085432696,0.9936311280275163,0.3292857142857143,0.2200911339754599,3.3221364424490907,0.9767106476977457,0.895161183653016,0.4430159913932683,0.37082450388557864,1.1681936797688004,-0.056954233490438294,-0.029225974178259628,0.0035401315404382135,0.02853686100273084,0.07583065453861541,0,공공AI+공교육
7,0.31876709833210215,0.28656238936959555,0.15397128017738815,0.9976336198893222,0.32785714285714285,0.21659365389315688,3.398043696468139,0.9770219704566536,0.8965630255321795,0.40826824036203424,0.37143679251116535,1.179195926231083,-0.06288540118018468,-0.030854219838425845,0.007548043047416357,0.03664803097720299,0.09137126315980917,0,공공AI+공교육
