C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00,전국,Whole country,시도별,By province,C13,섬유제품 제조업; 의복 제외,Manufacture of textiles except apparel,산업별,By industry,109.83818,T001,지역별 노동생산성,2025-09-02,344,2020,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C13,섬유제품 제조업; 의복 제외,Manufacture of textiles except apparel,산업별,By industry,113.043832,T001,지역별 노동생산성,2025-09-02,344,2021,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C13,섬유제품 제조업; 의복 제외,Manufacture of textiles except apparel,산업별,By industry,104.2987065,T001,지역별 노동생산성,2025-09-02,344,2022,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C13,섬유제품 제조업; 의복 제외,Manufacture of textiles except apparel,산업별,By industry,91.86362433,T001,지역별 노동생산성,2026-07-30,344,2023,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C13,섬유제품 제조업; 의복 제외,Manufacture of textiles except apparel,산업별,By industry,96.11419141,T001,지역별 노동생산성,2026-07-30,344,2024,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,148.62409,T001,지역별 노동생산성,2025-09-02,344,2011,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,143.62976,T001,지역별 노동생산성,2025-09-02,344,2012,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,149.73929,T001,지역별 노동생산성,2025-09-02,344,2013,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,144.39015,T001,지역별 노동생산성,2025-09-02,344,2014,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,148.98408,T001,지역별 노동생산성,2025-09-02,344,2015,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,132.87635,T001,지역별 노동생산성,2025-09-02,344,2016,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,149.944,T001,지역별 노동생산성,2025-09-02,344,2017,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,139.40889,T001,지역별 노동생산성,2025-09-02,344,2018,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,137.76195,T001,지역별 노동생산성,2025-09-02,344,2019,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,145.75145,T001,지역별 노동생산성,2025-09-02,344,2020,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,175.8659615,T001,지역별 노동생산성,2025-09-02,344,2021,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,203.214853,T001,지역별 노동생산성,2025-09-02,344,2022,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
