C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,104.00383,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202104,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,102.24809,T001,노동생산성지수,Indices of Labor Productivity,2024-06-26,344,202201,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,98.24996,T001,노동생산성지수,Indices of Labor Productivity,2024-06-26,344,202202,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,93.43489,T001,노동생산성지수,Indices of Labor Productivity,2024-06-26,344,202203,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,92.0736,T001,노동생산성지수,Indices of Labor Productivity,2024-06-26,344,202204,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,79.07266,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202301,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,72.01852,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202302,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,75.15569,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202303,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,80.42892,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202304,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,78.78404,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202401,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,75.38378,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202402,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
