spec_id,policy,wolfson_vs_market,output_vs_market,ede_vs_market,vulnerable_vs_market
23,전국민 공공AI,-0.021694916526025454,-0.030074388498111004,-0.024275384719196352,0.0010641758803319953
24,공공AI 실패,-0.003733143632395866,0.004597141259132118,0.005576987811162087,0.014555237009203026
24,공공AI 종합안,-0.024572898027085253,0.04427882137280422,0.051671631294224224,0.05119815552837448
24,공공AI+공교육,-0.019946791310623734,0.04246168027679192,0.04836410475737267,0.023623415929967195
24,공공AI+돌봄,-0.010193353148187902,0.0091589427020307,0.011138025164498203,0.027828502710430136
24,전국민 공공AI,-0.00815938782425607,0.010515221247814635,0.012427195992649631,0.0006809428541456244
25,공공AI 실패,-0.00862626433884639,-0.006906950001295903,-0.004889986893894638,0.014915836534656
25,공공AI 종합안,-0.055583068219334605,0.002300430487550298,0.018951058188212577,0.05272307510207315
25,공공AI+공교육,-0.04658103523845723,0.01894660859549263,0.03193580120421105,0.02505627696746863
25,공공AI+돌봄,-0.024607412248742105,-0.02849031121182477,-0.02264522654926504,0.02821337467408347
25,전국민 공공AI,-0.01915646961586373,-0.011536410865052638,-0.006167123051653789,0.0009972674842418545
26,공공AI 실패,-0.007991512955872776,-0.013255699754733702,-0.011578572133397053,0.014903917090283639
26,공공AI 종합안,-0.044491948916679694,-0.029774941647758818,-0.016522008257004978,0.052632307061188266
26,공공AI+공교육,-0.03694533418000008,-0.005245450296981119,0.005339046909458606,0.02497657084820174
26,공공AI+돌봄,-0.021619785374467265,-0.04547388057628418,-0.04082371384002936,0.028167127756950294
26,전국민 공공AI,-0.015907735088601452,-0.022827188557073136,-0.018565284982454383,0.0009592573397345268
27,공공AI 실패,-0.0005172546214612245,0.008743559550214774,0.008064445621188097,0.014484361344600627
27,공공AI 종합안,-0.020172187259823282,0.06605267512564289,0.07140584199690554,0.05056661051574485
27,공공AI+공교육,-0.014091627445436905,0.06015369924059907,0.06227306963395131,0.023091305994256312
27,공공AI+돌봄,-0.010603458153559397,0.015884102607295836,0.01960229274100497,0.02741279141530554
27,전국민 공공AI,-0.007659376871037474,0.014950184171551695,0.018415746239508587,0.00033927150867022783
28,공공AI 실패,-0.005004391523914714,-0.017021028423179735,-0.01573765604547045,0.014775619467449801
28,공공AI 종합안,-0.03222659601985461,-0.04999115897557557,-0.03970181686003407,0.052141193870921976
28,공공AI+공교육,-0.025776740586875818,-0.02168756384547424,-0.014171925271441121,0.02451087492478784
28,공공AI+돌봄,-0.014608675796576223,-0.053182344026928535,-0.05040206550191856,0.02806086500492
28,전국민 공공AI,-0.01142191327799659,-0.02830492065256565,-0.0257117603286168,0.0008719204357681525
29,공공AI 실패,-0.007953820491370056,-0.023714023682510944,-0.022505000449766666,0.014988678152677903
29,공공AI 종합안,-0.055282345924884235,-0.07307480932236951,-0.05800953136791401,0.05293796114781061
29,공공AI+공교육,-0.04273509613175122,-0.031900868060881986,-0.019974667069618146,0.025262557190809498
29,공공AI+돌봄,-0.02843870688543637,-0.08147870092462389,-0.07356354237045623,0.028249353301394296
29,전국민 공공AI,-0.022864230277989783,-0.04505154764071576,-0.037926692955913804,0.0010268381650144036
30,공공AI 실패,-0.00114071007884603,-0.008236652421941826,-0.008420942979183763,0.014255291843518553
30,공공AI 종합안,-0.013599987664472239,-0.012792657611068334,-0.01002563806669025,0.04964832053724329
30,공공AI+공교육,-0.009670221543772728,-0.001699245064935656,-0.0007735592533122393,0.02223529999089513
30,공공AI+돌봄,-0.006759299857223844,-0.02109738115789503,-0.02050461231908447,0.02715239887805051
30,전국민 공공AI,-0.004888753000361054,-0.009709295920368871,-0.009028385200102611,0.00012525598972952957
31,공공AI 실패,-0.0025248613323804042,-0.015053552782862904,-0.014934923480700645,0.01438144231132547
31,공공AI 종합안,-0.02148293675879468,-0.037579026455958744,-0.03303926018747075,0.050232894839689034
31,공공AI+공교육,-0.015308910303427035,-0.015956448526913816,-0.013026947356091823,0.022771893406670407
31,공공AI+돌봄,-0.010176469646948995,-0.04247550648549975,-0.04088172349862205,0.027352994051877667
31,전국민 공공AI,-0.007157478917368086,-0.02201867999110447,-0.0204143490018054,0.00029012430998243133
32,공공AI 실패,-0.0022485170203263988,0.004737259751084258,0.005330526512964437,0.014531190453306492
32,공공AI 종합안,-0.026268266044297016,0.04847738911610397,0.05615883275831725,0.050929228542055685
32,공공AI+공교육,-0.02041658093602041,0.046099253105773674,0.051342743287932216,0.023410805778556844
32,공공AI+돌봄,-0.01163891230200205,0.009824213306790633,0.012316554559479019,0.027593057180517078
32,전국민 공공AI,-0.0097938748749829,0.011266657415415788,0.013655438392045326,0.0004874311744414621
33,공공AI 실패,-0.003513044466360582,0.0016932475799880525,0.0017758854151786047,0.01459792654390753
33,공공AI 종합안,-0.02386647091650819,0.03325102505945417,0.039661287384461466,0.051109662029874325
33,공공AI+공교육,-0.018817564965725994,0.03669630571897731,0.0410933219192187,0.02358736564386913
33,공공AI+돌봄,-0.012792768789877756,-0.003268579130951646,0.00031082473794570575,0.027609251753688037
33,전국민 공공AI,-0.009625433045647197,0.002830549593414694,0.006142434145802025,0.000500741425256245
